?subclass	?subclassLabel
<http://www.wikidata.org/entity/Q7458488>	"sex columnist"@en
<http://www.wikidata.org/entity/Q15941595>	"sports columnist"@en
<http://www.wikidata.org/entity/Q17342450>	"editorial columnist"@en
<http://www.wikidata.org/entity/Q19607300>	"television columnist"@en
<http://www.wikidata.org/entity/Q189459>	"ulama"@en
<http://www.wikidata.org/entity/Q2632248>	"Akhoond"@en
<http://www.wikidata.org/entity/Q11711601>	Q11711601
<http://www.wikidata.org/entity/Q12270170>	"mutakallim"@en
<http://www.wikidata.org/entity/Q26234215>	Q26234215
<http://www.wikidata.org/entity/Q17488465>	"regional historian"@en
<http://www.wikidata.org/entity/Q1456208>	Q1456208
<http://www.wikidata.org/entity/Q3621491>	"archaeologist"@en
<http://www.wikidata.org/entity/Q15983985>	"classical archaeologist"@en
<http://www.wikidata.org/entity/Q17486326>	"architectural historian"@en
<http://www.wikidata.org/entity/Q22917056>	"engraved gem researcher"@en
<http://www.wikidata.org/entity/Q17598791>	"latinist"@en
<http://www.wikidata.org/entity/Q17391654>	"architecture critic"@en
<http://www.wikidata.org/entity/Q18939491>	"diarist"@en
<http://www.wikidata.org/entity/Q7508381>	"sideline reporter"@en
<http://www.wikidata.org/entity/Q11313148>	"sportswriter"@en
<http://www.wikidata.org/entity/Q16999353>	"Scholars of Piyyut"@en
<http://www.wikidata.org/entity/Q29017275>	Q29017275
<http://www.wikidata.org/entity/Q2325224>	Q2325224
<http://www.wikidata.org/entity/Q17391659>	"architectural theoretician"@en
<http://www.wikidata.org/entity/Q21272406>	"paleoanthropologist"@en
<http://www.wikidata.org/entity/Q26425137>	"mykenologist"@en
<http://www.wikidata.org/entity/Q3296111>	"Marxist historian"@en
<http://www.wikidata.org/entity/Q3809586>	"Wikipedian in Residence"@en
<http://www.wikidata.org/entity/Q29046765>	"wikipedian, interested in this topic"@en
<http://www.wikidata.org/entity/Q24702769>	"radio journalist"@en
<http://www.wikidata.org/entity/Q27915883>	"head of story"@en
<http://www.wikidata.org/entity/Q956365>	"Liedermacher"@en
<http://www.wikidata.org/entity/Q18190897>	"foreign correspondent"@en
<http://www.wikidata.org/entity/Q1366909>	"soccer commentator"@en
<http://www.wikidata.org/entity/Q3276037>	"color commentator"@en
<http://www.wikidata.org/entity/Q7579803>	"sports analyst"@en
<http://www.wikidata.org/entity/Q1802101>	"Archaeologist of the state"@en
<http://www.wikidata.org/entity/Q15137728>	"archaeoastronomer"@en
<http://www.wikidata.org/entity/Q22917872>	Q22917872
<http://www.wikidata.org/entity/Q25915497>	"archaeologist of the Roman provinces"@en
<http://www.wikidata.org/entity/Q25931036>	"zooarchaeologist"@en
<http://www.wikidata.org/entity/Q26224000>	"castellologist"@en
<http://www.wikidata.org/entity/Q26233771>	"building researcher"@en
<http://www.wikidata.org/entity/Q26261971>	"christian archaeologist"@en
<http://www.wikidata.org/entity/Q26424344>	"Near Eastern archaeologist"@en
<http://www.wikidata.org/entity/Q31271601>	Q31271601
<http://www.wikidata.org/entity/Q20743624>	"etruscologist"@en
